ImageName,count
20240424_manuel_lessi_0141_ScanRegion1_rep_1_channel_1,193233
20240424_manuel_lessi_0141_ScanRegion4_rep_0_channel_1,119538
20240424_manuel_lessi_0144_ScanRegion0_rep_2_channel_1,111864
20240424_manuel_lessi_0138_ScanRegion5_rep_0_channel_1,93315
20240424_manuel_lessi_0144_ScanRegion0_rep_1_channel_1,92574
20240424_manuel_lessi_0141_ScanRegion4_rep_1_channel_1,91647
20240424_manuel_lessi_0144_ScanRegion3_rep_2_channel_1,88037
20240424_manuel_lessi_0143_ScanRegion5_rep_2_channel_1,86923
20240424_manuel_lessi_0143_ScanRegion3_rep_0_channel_1,83708
20240424_manuel_lessi_0138_ScanRegion3_rep_2_channel_1,83230
20240424_manuel_lessi_0140_ScanRegion1_rep_0_channel_1,79906
20240424_manuel_lessi_0141_ScanRegion3_rep_0_channel_1,77198
20240424_manuel_lessi_0144_ScanRegion1_rep_1_channel_1,75495
20240424_manuel_lessi_0141_ScanRegion2_rep_2_channel_1,73719
20240424_manuel_lessi_0140_ScanRegion4_rep_1_channel_1,72472
20240424_manuel_lessi_0137_ScanRegion3_rep_2_channel_1,70386
20240424_manuel_lessi_0144_ScanRegion1_rep_2_channel_1,66984
20240424_manuel_lessi_0142_ScanRegion1_rep_1_channel_1,65113
20240424_manuel_lessi_0144_ScanRegion1_rep_0_channel_1,64319
20240424_manuel_lessi_0141_ScanRegion0_rep_2_channel_1,63640
20240424_manuel_lessi_0138_ScanRegion5_rep_1_channel_1,63198
20240424_manuel_lessi_0143_ScanRegion4_rep_2_channel_1,62570
20240424_manuel_lessi_0141_ScanRegion2_rep_0_channel_1,61378
20240424_manuel_lessi_0139_ScanRegion3_rep_0_channel_1,60999
20240424_manuel_lessi_0138_ScanRegion5_rep_2_channel_1,60298
20240424_manuel_lessi_0140_ScanRegion1_rep_1_channel_1,60092
20240424_manuel_lessi_0140_ScanRegion5_rep_2_channel_1,58972
20240424_manuel_lessi_0139_ScanRegion0_rep_2_channel_1,58855
20240424_manuel_lessi_0143_ScanRegion2_rep_0_channel_1,58422
20240424_manuel_lessi_0143_ScanRegion2_rep_1_channel_1,57892
20240424_manuel_lessi_0137_ScanRegion0_rep_0_channel_1,56275
20240424_manuel_lessi_0139_ScanRegion3_rep_1_channel_1,55732
20240424_manuel_lessi_0143_ScanRegion1_rep_0_channel_1,54921
20240424_manuel_lessi_0140_ScanRegion4_rep_0_channel_1,54060
20240424_manuel_lessi_0140_ScanRegion3_rep_0_channel_1,52516
20240424_manuel_lessi_0140_ScanRegion0_rep_0_channel_1,51804
20240424_manuel_lessi_0139_ScanRegion3_rep_2_channel_1,51377
20240424_manuel_lessi_0143_ScanRegion1_rep_2_channel_1,50736
20240424_manuel_lessi_0141_ScanRegion1_rep_0_channel_1,50357
20240424_manuel_lessi_0138_ScanRegion3_rep_0_channel_1,49262
20240424_manuel_lessi_0143_ScanRegion4_rep_0_channel_1,47712
20240424_manuel_lessi_0143_ScanRegion5_rep_1_channel_1,47709
20240424_manuel_lessi_0137_ScanRegion1_rep_2_channel_1,45756
20240424_manuel_lessi_0142_ScanRegion1_rep_0_channel_1,45297
20240424_manuel_lessi_0140_ScanRegion5_rep_0_channel_1,44962
20240424_manuel_lessi_0143_ScanRegion0_rep_1_channel_1,43732
20240424_manuel_lessi_0142_ScanRegion3_rep_0_channel_1,43543
20240424_manuel_lessi_0140_ScanRegion3_rep_1_channel_1,43348
20240424_manuel_lessi_0141_ScanRegion2_rep_1_channel_1,43198
20240424_manuel_lessi_0144_ScanRegion3_rep_1_channel_1,42965
20240424_manuel_lessi_0137_ScanRegion5_rep_0_channel_1,42545
20240424_manuel_lessi_0142_ScanRegion1_rep_2_channel_1,42054
20240424_manuel_lessi_0140_ScanRegion1_rep_2_channel_1,42033
20240424_manuel_lessi_0140_ScanRegion4_rep_2_channel_1,41823
20240424_manuel_lessi_0143_ScanRegion1_rep_1_channel_1,41602
20240424_manuel_lessi_0139_ScanRegion2_rep_0_channel_1,41136
20240424_manuel_lessi_0141_ScanRegion0_rep_0_channel_1,39563
20240424_manuel_lessi_0140_ScanRegion0_rep_1_channel_1,38839
20240424_manuel_lessi_0143_ScanRegion2_rep_2_channel_1,38289
20240424_manuel_lessi_0137_ScanRegion1_rep_0_channel_1,37847
20240424_manuel_lessi_0140_ScanRegion3_rep_2_channel_1,35423
20240424_manuel_lessi_0141_ScanRegion0_rep_1_channel_1,34444
20240424_manuel_lessi_0144_ScanRegion2_rep_1_channel_1,34072
20240424_manuel_lessi_0143_ScanRegion0_rep_2_channel_1,33994
20240424_manuel_lessi_0143_ScanRegion0_rep_0_channel_1,33745
20240424_manuel_lessi_0143_ScanRegion5_rep_0_channel_1,32877
20240424_manuel_lessi_0137_ScanRegion1_rep_1_channel_1,32612
20240424_manuel_lessi_0139_ScanRegion4_rep_1_channel_1,32557
20240424_manuel_lessi_0137_ScanRegion4_rep_1_channel_1,32387
20240424_manuel_lessi_0138_ScanRegion2_rep_2_channel_1,32252
20240424_manuel_lessi_0138_ScanRegion1_rep_2_channel_1,30867
20240424_manuel_lessi_0138_ScanRegion4_rep_0_channel_1,30849
20240424_manuel_lessi_0138_ScanRegion0_rep_0_channel_1,30319
20240424_manuel_lessi_0139_ScanRegion1_rep_1_channel_1,30036
20240424_manuel_lessi_0144_ScanRegion0_rep_0_channel_1,29965
20240424_manuel_lessi_0142_ScanRegion4_rep_0_channel_1,29489
