Reference Image Report,general QC (keep or not)
20240424_manuel_lessi_0136_ScanRegion0_rep_0_channel_1.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion0_rep_1_channel_1.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion0_rep_2_channel_1.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion2_rep_0_channel_1.pdf,Not sure
20240424_manuel_lessi_0136_ScanRegion2_rep_1_channel_1.pdf,Limit
20240424_manuel_lessi_0136_ScanRegion2_rep_2_channel_1.pdf,No
20240424_manuel_lessi_0136_ScanRegion3_rep_0_channel_1.pdf,Limit
20240424_manuel_lessi_0136_ScanRegion3_rep_1_channel_1.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion3_rep_2_channel_1.pdf,Yes
20240424_manuel_lessi_0137_ScanRegion0_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion1_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion1_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion1_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion2_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion2_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion3_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion3_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion3_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion4_rep_0_channel_1.pdf,maybe
20240424_manuel_lessi_0137_ScanRegion4_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion5_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0137_ScanRegion5_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0138_ScanRegion0_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0138_ScanRegion0_rep_1_channel_1.pdf,no
20240424_manuel_lessi_0138_ScanRegion0_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0138_ScanRegion1_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0138_ScanRegion1_rep_1_channel_1.pdf,maybe
