index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,5426.071269626221,1931.7617603277586
0,rectangle,1,5426.071269626221,7206.047302457422
0,rectangle,2,13027.975783399963,7206.047302457422
0,rectangle,3,13027.975783399963,1931.7617603277586
1,rectangle,0,1365.1190212259157,6388.90447198663
1,rectangle,1,1365.1190212259157,14857.475624138486
1,rectangle,2,7753.690241270298,14857.475624138486
1,rectangle,3,7753.690241270298,6388.90447198663
2,rectangle,0,9165.11876662894,8295.57107641848
2,rectangle,1,9165.11876662894,15426.999415072674
2,rectangle,2,15776.547122256266,15426.999415072674
2,rectangle,3,15776.547122256266,8295.57107641848
