area,label,intensity_mean,intensity_min,intensity_max,ImageName_ScanRegion_Rep
41353242,1,2417.67000606627,1451,24120,20240424_manuel_lessi_0134_ScanRegion0_rep_0
16657221,1,3091.30518908286,1683,18027,20240424_manuel_lessi_0134_ScanRegion0_rep_1
44113333,1,3377.07358974666,1493,27952,20240424_manuel_lessi_0134_ScanRegion0_rep_2
22257391,1,1032.35351479425,729,12470,20240424_manuel_lessi_0134_ScanRegion2_rep_0
19492317,1,1035.63293193929,698,7572,20240424_manuel_lessi_0134_ScanRegion2_rep_1
28879462,1,1150.80502659641,808,15890,20240424_manuel_lessi_0134_ScanRegion2_rep_2
24898745,1,5140.35963141917,1726,47610,20240424_manuel_lessi_0130_ScanRegion0_rep_0
13385263,1,4521.45693431649,1564,65535,20240424_manuel_lessi_0130_ScanRegion0_rep_1
4797849,1,6659.30649067947,2658,52767,20240424_manuel_lessi_0130_ScanRegion0_rep_2
20941939,1,5314.37900850537,2410,60950,20240424_manuel_lessi_0130_ScanRegion1_rep_0
22522644,1,6814.70213794615,3185,54582,20240424_manuel_lessi_0130_ScanRegion1_rep_1
6490322,1,5453.84380851982,2291,46364,20240424_manuel_lessi_0130_ScanRegion2_rep_0
28103827,1,2074.3388578004,1129,59754,20240424_manuel_lessi_0130_ScanRegion2_rep_1
9613575,1,7513.36610667728,3374,44082,20240424_manuel_lessi_0130_ScanRegion2_rep_2
30955050,1,3603.26267449091,1286,56162,20240424_manuel_lessi_0130_ScanRegion3_rep_0
35364241,1,4021.70563666275,1446,60578,20240424_manuel_lessi_0130_ScanRegion3_rep_1
30763119,1,4157.62310736437,1515,42358,20240424_manuel_lessi_0130_ScanRegion3_rep_2
16326382,1,7341.97824894701,2521,46264,20240424_manuel_lessi_0130_ScanRegion4_rep_0
18981845,1,6916.632490888,2860,46337,20240424_manuel_lessi_0130_ScanRegion4_rep_1
5518840,1,5789.89304328446,1846,45060,20240424_manuel_lessi_0133_ScanRegion4_rep_0
7830174,1,4869.77372584568,1666,29515,20240424_manuel_lessi_0133_ScanRegion4_rep_1
7848263,1,4738.79249293761,1961,34279,20240424_manuel_lessi_0133_ScanRegion4_rep_2
25216880,1,2897.34242749301,1595,46841,20240424_manuel_lessi_0138_ScanRegion0_rep_0
783450,1,5758.09358606165,2353,28128,20240424_manuel_lessi_0138_ScanRegion0_rep_1
9406872,1,2427.27145272095,1434,22097,20240424_manuel_lessi_0138_ScanRegion0_rep_2
19764267,1,4312.85114014094,1931,46239,20240424_manuel_lessi_0138_ScanRegion1_rep_0
