label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,899.0,1591,1816,1620,1859,1605.1913236929922,1836.5917686318132,0.8240873335273554,33.83256346653194,0.7209302325581395,45.16959521267657,25.586893901299838,-1.3193419663765957,118.32590180780451,0.959445037353255,523.3414905450501,401.0,696.0
2,1353.0,1745,3149,1811,3180,1777.110125646711,3163.7538802660756,0.9164312655299258,41.50533825939352,0.6612903225806451,65.76902109069515,26.320244198293334,0.23585280950823706,158.95331880577407,0.9678111587982833,469.6858832224686,371.0,581.0
3,569.0,1470,2344,1495,2374,1482.2091388400704,2358.2671353251317,0.5720810002857484,26.916041702938184,0.7586666666666667,29.75522137599766,24.40514712163071,-1.2043807133620965,88.42640687119284,0.9627749576988156,5906.170474516696,1495.0,12210.0
4,676.0,786,449,818,480,801.9097633136095,464.103550295858,0.7322373542437,29.33785834448333,0.6814516129032258,35.65177287138411,24.280623019967493,-0.8136706875716236,97.9827560572969,0.96987087517934,818.4186390532544,596.0,1045.0
5,606.0,2349,832,2380,859,2363.5181518151817,843.6056105610561,0.5570823714719533,27.777385840094972,0.7240143369175627,30.76066235765716,25.54541483483683,-0.28492185627779876,92.08326112068524,0.9619047619047619,491.2970297029703,376.0,628.0
6,1360.0,2572,1407,2608,1453,2589.189705882353,1431.0257352941176,0.6102614272195888,41.61256758288079,0.821256038647343,47.05505772202747,37.277021195538794,1.5471845787843792,137.74011537017762,0.9798270893371758,456.36911764705883,327.0,606.0
7,858.0,3248,2495,3279,2530,3263.2097902097903,2512.681818181818,0.5575046988843408,33.05207299675423,0.7907834101382488,36.306752632263105,30.14091419738213,-1.1392831816239233,107.49747468305833,0.9761092150170648,466.43589743589746,369.0,562.0
8,600.0,2253,4487,2284,4512,2268.008333333333,4499.44,0.6440474163838401,27.63953195770684,0.7741935483870968,31.637585362565215,24.202296336958497,-0.36983041740101963,90.42640687119285,0.9693053311793215,451.79333333333335,368.0,545.0
9,384.0,795,1682,818,1704,805.0807291666666,1691.5130208333333,0.47595453495005124,22.111625566165472,0.758893280632411,23.973564251348048,21.08402782295794,-0.9424532605997563,73.698484809835,0.96,539.0833333333334,442.0,636.0
10,1312.0,516,1474,561,1512,536.0510670731708,1493.0823170731708,0.5507351584933665,40.87163175960233,0.7672514619883041,45.26906441594148,37.785184932017266,-0.1322345980919137,137.39696961967,0.9711324944485566,850.4489329268292,422.0,1293.0
11,1394.0,2008,3762,2058,3802,2033.8802008608322,3781.7388809182207,0.7369334339142716,42.129513709047444,0.697,51.76417240039347,34.99078536639809,-0.4297362890935126,144.95331880577405,0.9707520891364902,6899.165710186514,389.0,23973.0
12,688.0,1662,2399,1692,2430,1675.4636627906978,2414.922965116279,0.28430379240078907,29.597108081327676,0.7397849462365591,30.34140591782453,29.089344912124645,-1.4443054068407994,96.91168824543142,0.9676511954992968,475.11337209302326,390.0,598.0
13,480.0,1648,4813,1673,4838,1660.3375,4824.245833333333,0.5039974342432006,24.721548929484133,0.768,26.686205344005554,23.049012991734045,0.6949525247854735,80.18376618407356,0.96579476861167,2679.2395833333335,877.0,6628.0
14,1077.0,1342,4077,1372,4127,1356.598885793872,4098.1643454038995,0.817609982037239,37.03078435139837,0.718,49.90505095025886,28.73395358709427,1.537416465913531,133.1543289325507,0.9564831261101243,1496.6016713091922,777.0,2423.0
15,696.0,1260,2705,1293,2732,1276.4755747126437,2718.625,0.5895235624344856,29.768686956862464,0.7811447811447811,33.2074135567421,26.823327496371352,-0.3766482608576052,96.66904755831214,0.9761570827489481,450.72557471264366,347.0,583.0
16,728.0,1166,2387,1200,2415,1182.8997252747254,2399.5824175824177,0.5767451539534991,30.445334430207833,0.7647058823529411,33.75383396734905,27.574321307766965,-0.11356611405817243,100.08326112068524,0.9667994687915007,489.4326923076923,370.0,620.0
17,1289.0,3605,2085,3640,2134,3621.8471683475564,2107.7626066718385,0.7067253974921343,40.511797950271536,0.751603498542274,48.35030325990069,34.20725738437435,-1.4449555380040586,135.88225099390857,0.975775927327782,453.45073700543054,375.0,558.0
18,611.0,1739,4628,1768,4657,1753.0360065466448,4641.965630114566,0.7515175813310294,27.891743614073043,0.7265160523186682,34.369346848088206,22.673907068330703,-0.7687341341286588,93.25483399593904,0.9652448657187994,1042.2340425531916,499.0,1624.0
19,379.0,2314,1481,2334,1505,2323.155672823219,1492.7467018469656,0.547762837579497,21.967197988242077,0.7895833333333333,24.034794213439746,20.108317745593816,-1.5085128137243593,70.52691193458118,0.9668367346938775,450.8126649076517,346.0,549.0
20,619.0,1244,2288,1268,2322,1255.37802907916,2304.4232633279485,0.7122448333211906,28.07374713484229,0.758578431372549,33.5304069040763,23.536036076600436,1.4522196346470644,94.08326112068524,0.9596899224806201,535.9903069466882,411.0,880.0
